figure_id,data_file,rows,sha256_16,paper_notes,source_artifacts,note
F20,fig20-correction-record.csv,16,ed57e02ae21b43d5,"PN-23, PN-26, PN-30, PN-36, PN-37, PN-39, PN-40, PN-41, PN-42, PN-43, PN-45, PN-60, PN-61, PN-62, PN-63, PN-64",docs/paper/PAPER-NOTES.md,fourteen of the sixteen corrections cost zero GPU time because per-item records were retained
F22,fig22-depth-decode.csv,26,09ad5235c081608d,"PN-32, PN-24 (at-depth half withdrawn by PN-30), PN-30",data/raw/e12/s9/s9d-depthsweep.json | data/raw/e12/s9/s9e-n262k.json | data/raw/e12/s8/s8-humaneval.json,"the at-depth rows share one protocol; the ctx-32,768 rows are a different protocol and are labelled so"
F23,fig23-generation-saturation.csv,18,d4eea4dc403dbeac,PN-38,data/raw/e12/s11/s11-gen-c8192.json | data/raw/e12/s11/s11-divdepth.json,"estimator: character-level Levenshtein divided by the longer string; PN-38's own values are not reproducible under this or three other normalisations, but its conclusion is"
F24,fig24-minimum-p.csv,31,af046529449dff3a,"PN-40, PN-22","derived: exact binomial at the extreme split (d,0)","the smallest p a paired binary test can return is set by the discordant count, not by n"
F26,fig26-perplexity-ladder.csv,5,d5ce0b4a39b616f4,"PN-48, PN-49",data/archive/ledger-data.json,the whole ladder spans 0.033 PPL while each point carries +/-0.041 SE
F27,fig27-kv-quantization.csv,4,40d756f523db8a27,"PN-15, PN-43, PN-62",data/raw/e12/ssa/ssa-kld-tables.json,sizes are comparable because all four are KL from the same reference on the same corpus; they are NOT additive and no experiment applies both perturbations together
F27b,fig27b-kv-ppl-contrast.csv,4,7ebbc724f8432f67,"PN-15, PN-43",data/raw/e12/ssa/ssa-results-parsed.json,the same perturbation that moves KL divergence by 0.002955 moves perplexity by +0.15 %
T1,fig21-arms-manifest.csv,6,e8728075be799f2a,"PN-57, PN-13",data/raw/e12/env-manifest.json,byte counts and hashes are the identity of record; two of these files have since been deleted and are recoverable by hash
T2,fig21b-sampling-configurations.csv,6,8f4c60a26475a08b,"PN-1, PN-2, PN-3, PN-16",data/raw/e12/env-manifest.json | docs/paper/PAPER-NOTES.md,four distinct sampling configurations were used across the study; absolute scores are not comparable across them
T22,fig19b-energy-envelope.csv,8,f0fcc2d684b52f10,"PN-11, PN-12","/srv/bench/power-log.csv (host, 43,182 samples, gitignored)",host-level only: no per-configuration J/tok figure exists for the E12 arms (DEC-12 cancelled Wave 4)
